date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:00:17	377463/377463	---MCZ	200	added ('OK')	text/html	etag:%2261CB5121BE3F16C3101948F9AEB22923%22	https://www.metro.pe/tecnologia/televisores/13035?PS=18&map=c,c,productClusterSearchableIds	C:/HTRACK/metro1/www.metro.pe/tecnologia/televisores/13035fb64.html	(from https://www.metro.pe/tecnologia/televisores)
12:00:18	215315/215315	---MCZ	200	added ('OK')	text/html	etag:%22A03DF4100279750FA67094A9B2672BFB%22	https://www.metro.pe/tecnologia/televisores/13258?PS=18&map=c,c,productClusterSearchableIds	C:/HTRACK/metro1/www.metro.pe/tecnologia/televisores/13258fb64.html	(from https://www.metro.pe/tecnologia/televisores)
12:00:19	148666/148666	---M-Z	200	added ('OK')	text/html	etag:%229D1BFC7201E0938E40B00E4FBD26AB56%22	https://www.metro.pe/tecnologia/televisores/13306?PS=18&map=c,c,productClusterSearchableIds	C:/HTRACK/metro1/www.metro.pe/tecnologia/televisores/13306fb64.html	(from https://www.metro.pe/tecnologia/televisores)
12:00:19	148663/148663	---M-Z	200	added ('OK')	text/html	etag:%229D1BFC7201E0938E40B00E4FBD26AB56%22	https://www.metro.pe/tecnologia/televisores/13307?PS=18&map=c,c,productClusterSearchableIds	C:/HTRACK/metro1/www.metro.pe/tecnologia/televisores/13307fb64.html	(from https://www.metro.pe/tecnologia/televisores)
12:00:20	152982/152982	---M-Z	200	added ('OK')	text/html	etag:%227BA7BFB0634FB239C271F9F758146796%22	https://www.metro.pe/tecnologia/televisores/13458?PS=18&map=c,c,productClusterSearchableIds	C:/HTRACK/metro1/www.metro.pe/tecnologia/televisores/13458fb64.html	(from https://www.metro.pe/tecnologia/televisores)
12:00:21	156178/156178	---M-Z	200	added ('OK')	text/html	etag:%22B3E9D429CCBC2F9625ABE1064654BA26%22	https://www.metro.pe/tecnologia/televisores/13953?PS=18&map=c,c,productClusterSearchableIds	C:/HTRACK/metro1/www.metro.pe/tecnologia/televisores/13953fb64.html	(from https://www.metro.pe/tecnologia/televisores)
12:00:22	322391/322391	---MCZ	200	added ('OK')	text/html	etag:%22AD5C450AC2EC98EFB6D2CC2345C01537%22	https://www.metro.pe/tecnologia/televisores/14014?PS=18&map=c,c,productClusterSearchableIds	C:/HTRACK/metro1/www.metro.pe/tecnologia/televisores/14014fb64.html	(from https://www.metro.pe/tecnologia/televisores)
12:00:24	356589/356589	---MCZ	200	added ('OK')	text/html	etag:%22F89F7FBA7DE942D0700FBB1A6BB22E09%22	https://www.metro.pe/tecnologia/televisores/14219?PS=18&map=c,c,productClusterSearchableIds	C:/HTRACK/metro1/www.metro.pe/tecnologia/televisores/14219fb64.html	(from https://www.metro.pe/tecnologia/televisores)
12:00:25	288246/288246	---MCZ	200	added ('OK')	text/html	etag:%22471348475B01E18A7FDF2B9DF9A94C5D%22	https://www.metro.pe/tecnologia/televisores/14551?PS=18&map=c,c,productClusterSearchableIds	C:/HTRACK/metro1/www.metro.pe/tecnologia/televisores/14551fb64.html	(from https://www.metro.pe/tecnologia/televisores)
12:00:26	171728/171728	---M-Z	200	added ('OK')	text/html	etag:%22A69AAD00D6616433400BBFA38EB3558C%22	https://www.metro.pe/tecnologia/televisores/14935?PS=18&map=c,c,productClusterSearchableIds	C:/HTRACK/metro1/www.metro.pe/tecnologia/televisores/14935fb64.html	(from https://www.metro.pe/tecnologia/televisores)
12:00:26	150113/150113	---M-Z	200	added ('OK')	text/html	etag:%22C506F33850E2F886E5E0573C3ABD85CC%22	https://www.metro.pe/tecnologia/televisores/15203?PS=18&map=c,c,productClusterSearchableIds	C:/HTRACK/metro1/www.metro.pe/tecnologia/televisores/15203fb64.html	(from https://www.metro.pe/tecnologia/televisores)
12:00:27	149682/149682	---M-Z	200	added ('OK')	text/html	etag:%22C506F33850E2F886E5E0573C3ABD85CC%22	https://www.metro.pe/tecnologia/televisores/15485?PS=18&map=c,c,productClusterSearchableIds	C:/HTRACK/metro1/www.metro.pe/tecnologia/televisores/15485fb64.html	(from https://www.metro.pe/tecnologia/televisores)
12:00:28	152986/152986	---M-Z	200	added ('OK')	text/html	etag:%227BA7BFB0634FB239C271F9F758146796%22	https://www.metro.pe/tecnologia/televisores/15613?PS=18&map=c,c,productClusterSearchableIds	C:/HTRACK/metro1/www.metro.pe/tecnologia/televisores/15613fb64.html	(from https://www.metro.pe/tecnologia/televisores)
12:00:29	153002/153002	---M-Z	200	added ('OK')	text/html	etag:%227BA7BFB0634FB239C271F9F758146796%22	https://www.metro.pe/tecnologia/televisores/15618?PS=18&map=c,c,productClusterSearchableIds	C:/HTRACK/metro1/www.metro.pe/tecnologia/televisores/15618fb64.html	(from https://www.metro.pe/tecnologia/televisores)
12:00:29	149669/149669	---M-Z	200	added ('OK')	text/html	etag:%22C506F33850E2F886E5E0573C3ABD85CC%22	https://www.metro.pe/tecnologia/televisores/15677?PS=18&map=c,c,productClusterSearchableIds	C:/HTRACK/metro1/www.metro.pe/tecnologia/televisores/15677fb64.html	(from https://www.metro.pe/tecnologia/televisores)
12:00:31	466144/466144	---MCZ	200	added ('OK')	text/html	etag:%220E066C0769F06ADEEE26ECEC217ADFBE%22	https://www.metro.pe/tecnologia/televisores/16922?PS=18&map=c,c,productClusterSearchableIds	C:/HTRACK/metro1/www.metro.pe/tecnologia/televisores/16922fb64.html	(from https://www.metro.pe/tecnologia/televisores)
12:00:32	467191/467191	---M-Z	200	added ('OK')	text/html	etag:%22F98CB98E29DF06C349ED73625587A939%22	https://www.metro.pe/tecnologia/televisores/17138?PS=18&map=c,c,productClusterSearchableIds	C:/HTRACK/metro1/www.metro.pe/tecnologia/televisores/17138fb64.html	(from https://www.metro.pe/tecnologia/televisores)
12:00:32	154475/154475	---M-Z	200	added ('OK')	text/html	etag:%2291159E73E327BB82624BDDB44EAA05F8%22	https://www.metro.pe/tecnologia/televisores/18119?PS=18&map=c,c,productClusterSearchableIds	C:/HTRACK/metro1/www.metro.pe/tecnologia/televisores/18119fb64.html	(from https://www.metro.pe/tecnologia/televisores)
12:00:33	458140/458140	---MCZ	200	added ('OK')	text/html	etag:%228BE7EEDD2C9130D0923333E79CA40421%22	https://www.metro.pe/tecnologia/televisores/18172?PS=18&map=c,c,productClusterSearchableIds	C:/HTRACK/metro1/www.metro.pe/tecnologia/televisores/18172fb64.html	(from https://www.metro.pe/tecnologia/televisores)
12:00:33	192820/192820	---M-Z	200	added ('OK')	text/html	etag:%2228031FA8098167674612203274F45C76%22	https://www.metro.pe/tecnologia/televisores/18399?PS=18&map=c,c,productClusterSearchableIds	C:/HTRACK/metro1/www.metro.pe/tecnologia/televisores/18399fb64.html	(from https://www.metro.pe/tecnologia/televisores)
12:00:34	459828/459828	---MCZ	200	added ('OK')	text/html	etag:%226F7C0F085379491967533892A20C3A72%22	https://www.metro.pe/tecnologia/televisores/18412?PS=18&map=c,c,productClusterSearchableIds	C:/HTRACK/metro1/www.metro.pe/tecnologia/televisores/18412fb64.html	(from https://www.metro.pe/tecnologia/televisores)
12:00:35	150118/150118	---M-Z	200	added ('OK')	text/html	etag:%22C506F33850E2F886E5E0573C3ABD85CC%22	https://www.metro.pe/tecnologia/televisores/18481?PS=18&map=c,c,productClusterSearchableIds	C:/HTRACK/metro1/www.metro.pe/tecnologia/televisores/18481fb64.html	(from https://www.metro.pe/tecnologia/televisores)
12:00:36	471028/471028	---MCZ	200	added ('OK')	text/html	etag:%220068D6132FEC8F7021A0313D04B6A0BE%22	https://www.metro.pe/tecnologia/televisores/18523?PS=18&map=c,c,productClusterSearchableIds	C:/HTRACK/metro1/www.metro.pe/tecnologia/televisores/18523fb64.html	(from https://www.metro.pe/tecnologia/televisores)
